event_name,requirement_id,requirement_text,basis_type,basis_name,basis_locator,basis_url,check_status,checked_at,checked_by,neutrality_note,remarks,row_id
ハラスメント事案の発生,LH-REQ-CONS01-001,職場におけるハラスメント該当性,law,労働施策の総合的な推進並びに労働者の雇用の安定及び職業生活の充実等に関する法律,第30条の2／第30条の3,https://laws.e-gov.go.jp/law/341AC0000000132/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000374
ハラスメント事案の発生,LH-REQ-CONS01-002,ハラスメントによる就業環境侵害の有無,law,労働施策の総合的な推進並びに労働者の雇用の安定及び職業生活の充実等に関する法律,第30条の2／第30条の3,https://laws.e-gov.go.jp/law/341AC0000000132/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000375
ハラスメント事案の発生,LH-REQ-CONS01-003,ハラスメント防止方針の明確化状況,law,労働施策の総合的な推進並びに労働者の雇用の安定及び職業生活の充実等に関する法律,第30条の2／第30条の3,https://laws.e-gov.go.jp/law/341AC0000000132/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000376
ハラスメント事案の発生,LH-REQ-CONS01-004,ハラスメント相談対応体制の整備状況,law,労働施策の総合的な推進並びに労働者の雇用の安定及び職業生活の充実等に関する法律,第30条の2／第30条の3,https://laws.e-gov.go.jp/law/341AC0000000132/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000377
ハラスメント事案の発生,LH-REQ-CONS01-005,ハラスメント相談者に対する不利益取扱いの有無,law,労働施策の総合的な推進並びに労働者の雇用の安定及び職業生活の充実等に関する法律,第30条の2／第30条の3,https://laws.e-gov.go.jp/law/341AC0000000132/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000378
ハラスメント事案の発生,LH-REQ-CONS01-006,ハラスメント事案における事実関係把握措置の実施状況,law,労働施策の総合的な推進並びに労働者の雇用の安定及び職業生活の充実等に関する法律,第30条の2／第30条の3,https://laws.e-gov.go.jp/law/341AC0000000132/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000379
ハラスメント事案の発生,LH-REQ-CONS01-007,ハラスメント確認時の再発防止措置実施状況,law,労働施策の総合的な推進並びに労働者の雇用の安定及び職業生活の充実等に関する法律,第30条の2／第30条の3,https://laws.e-gov.go.jp/law/341AC0000000132/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000380
ハラスメント事案の発生,LH-REQ-CONS01-008,性的言動による就業環境侵害該当性,law,男女雇用機会均等法,第11条／第11条の2,https://laws.e-gov.go.jp/law/347AC0000000113/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000381
ハラスメント事案の発生,LH-REQ-CONS01-009,妊娠・出産・育児休業等に関する言動による就業環境侵害の有無,law,男女雇用機会均等法,第11条／第11条の2,https://laws.e-gov.go.jp/law/347AC0000000113/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000382
ハラスメント事案の発生,LH-REQ-CONS01-010,セクシュアルハラスメント防止方針の明確化状況,law,男女雇用機会均等法,第11条／第11条の2,https://laws.e-gov.go.jp/law/347AC0000000113/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000383
ハラスメント事案の発生,LH-REQ-CONS01-011,妊娠・出産等に関するハラスメント防止措置の実施状況,law,男女雇用機会均等法,第11条／第11条の2,https://laws.e-gov.go.jp/law/347AC0000000113/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000384
ハラスメント事案の発生,LH-REQ-CONS01-012,ハラスメント相談対応体制の整備状況,law,男女雇用機会均等法,第11条／第11条の2,https://laws.e-gov.go.jp/law/347AC0000000113/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000385
ハラスメント事案の発生,LH-REQ-CONS01-013,ハラスメント相談者に対する不利益取扱いの有無,law,男女雇用機会均等法,第11条／第11条の2,https://laws.e-gov.go.jp/law/347AC0000000113/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000386
ハラスメント事案の発生,LH-REQ-CONS01-014,ハラスメント事案における事実関係把握措置の実施状況,law,男女雇用機会均等法,第11条／第11条の2,https://laws.e-gov.go.jp/law/347AC0000000113/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000387
ハラスメント事案の発生,LH-REQ-CONS01-015,ハラスメント確認時の是正措置および再発防止措置の実施状況,law,男女雇用機会均等法,第11条／第11条の2,https://laws.e-gov.go.jp/law/347AC0000000113/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000388
ハラスメント事案の発生,LH-REQ-CONS01-016,育児休業等に関する言動の有無,law,育児休業、介護休業等育児又は家族介護を行う労働者の福祉に関する法律,第25条,https://laws.e-gov.go.jp/law/403AC0000000076/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000389
ハラスメント事案の発生,LH-REQ-CONS01-017,当該言動による就業環境侵害の有無,law,育児休業、介護休業等育児又は家族介護を行う労働者の福祉に関する法律,第25条,https://laws.e-gov.go.jp/law/403AC0000000076/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000390
ハラスメント事案の発生,LH-REQ-CONS01-018,育児休業等に関する言動防止措置の実施状況,law,育児休業、介護休業等育児又は家族介護を行う労働者の福祉に関する法律,第25条,https://laws.e-gov.go.jp/law/403AC0000000076/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000391
ハラスメント事案の発生,LH-REQ-CONS01-019,育児休業等に関する相談対応体制の整備状況,law,育児休業、介護休業等育児又は家族介護を行う労働者の福祉に関する法律,第25条,https://laws.e-gov.go.jp/law/403AC0000000076/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000392
ハラスメント事案の発生,LH-REQ-CONS01-020,育児休業等に関する相談者への不利益取扱いの有無,law,育児休業、介護休業等育児又は家族介護を行う労働者の福祉に関する法律,第25条,https://laws.e-gov.go.jp/law/403AC0000000076/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000393
ハラスメント事案の発生,LH-REQ-CONS01-021,当該ハラスメント事案における事実関係把握措置の実施状況,law,育児休業、介護休業等育児又は家族介護を行う労働者の福祉に関する法律,第25条,https://laws.e-gov.go.jp/law/403AC0000000076/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000394
ハラスメント事案の発生,LH-REQ-CONS01-022,ハラスメント確認時の是正措置および再発防止措置の実施状況,law,育児休業、介護休業等育児又は家族介護を行う労働者の福祉に関する法律,第25条,https://laws.e-gov.go.jp/law/403AC0000000076/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000395
ハラスメント事案の発生,LH-REQ-CONS01-023,ハラスメントによる生命・身体・健康侵害のおそれの有無,law,労働契約法,第5条,https://laws.e-gov.go.jp/law/419AC0000000128/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000396
ハラスメント事案の発生,LH-REQ-CONS01-024,当該事案における事業主の安全配慮対応状況,law,労働契約法,第5条,https://laws.e-gov.go.jp/law/419AC0000000128/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000397
ハラスメント事案の発生,LH-REQ-CONS01-025,申告・相談を踏まえた就業環境上の危険防止措置の実施状況,law,労働契約法,第5条,https://laws.e-gov.go.jp/law/419AC0000000128/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000398
ハラスメント事案の発生,LH-REQ-CONS01-026,ハラスメント事案に関連する安全配慮対応内容の整理状況,law,労働契約法,第5条,https://laws.e-gov.go.jp/law/419AC0000000128/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000399
