audit_id,audit_name,audit_period,audit_scope_note,event_name,requirement_id,requirement_text,basis_type,basis_name,basis_locator,basis_url,check_status,checked_at,checked_by,neutrality_note,remarks,row_id
,,,,労働災害の発生,LH-REQ-SAFE02-001,労働災害発生時における事業者の安全配慮責務の確認状況,law,労働安全衛生法,第3条／第21条／第22条／第23条／第24条／第66条の4,https://laws.e-gov.go.jp/law/347AC0000000057/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000355
,,,,労働災害の発生,LH-REQ-SAFE02-002,機械等による危険防止措置の実施状況,law,労働安全衛生法,第3条／第21条／第22条／第23条／第24条／第66条の4,https://laws.e-gov.go.jp/law/347AC0000000057/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000356
,,,,労働災害の発生,LH-REQ-SAFE02-003,爆発等事故防止措置の実施状況,law,労働安全衛生法,第3条／第21条／第22条／第23条／第24条／第66条の4,https://laws.e-gov.go.jp/law/347AC0000000057/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000357
,,,,労働災害の発生,LH-REQ-SAFE02-004,就業に伴う危険または健康障害防止措置の実施状況,law,労働安全衛生法,第3条／第21条／第22条／第23条／第24条／第66条の4,https://laws.e-gov.go.jp/law/347AC0000000057/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000358
,,,,労働災害の発生,LH-REQ-SAFE02-005,作業方法等に関する安全衛生措置の実施状況,law,労働安全衛生法,第3条／第21条／第22条／第23条／第24条／第66条の4,https://laws.e-gov.go.jp/law/347AC0000000057/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000359
,,,,労働災害の発生,LH-REQ-SAFE02-006,労働災害発生時の医師等意見聴取体制の整備状況,law,労働安全衛生法,第3条／第21条／第22条／第23条／第24条／第66条の4,https://laws.e-gov.go.jp/law/347AC0000000057/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000360
,,,,労働災害の発生,LH-REQ-SAFE02-007,業務上または通勤災害該当性,law,労働者災害補償保険法,第7条／第8条,https://laws.e-gov.go.jp/law/322AC0000000050/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000361
,,,,労働災害の発生,LH-REQ-SAFE02-008,労働者災害補償保険給付対象該当性,law,労働者災害補償保険法,第7条／第8条,https://laws.e-gov.go.jp/law/322AC0000000050/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000362
,,,,労働災害の発生,LH-REQ-SAFE02-009,労働者災害補償保険被保険者該当性,law,労働者災害補償保険法,第7条／第8条,https://laws.e-gov.go.jp/law/322AC0000000050/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000363
,,,,労働災害の発生,LH-REQ-SAFE02-010,災害内容に応じた保険給付種類の整理状況,law,労働者災害補償保険法,第7条／第8条,https://laws.e-gov.go.jp/law/322AC0000000050/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000364
,,,,労働災害の発生,LH-REQ-SAFE02-011,保険給付請求に必要な事実関係の整理状況,law,労働者災害補償保険法,第7条／第8条,https://laws.e-gov.go.jp/law/322AC0000000050/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000365
,,,,労働災害の発生,LH-REQ-SAFE02-012,業務上負傷または疾病に係る療養補償対象該当性,law,労働基準法,第75条／第76条／第77条／第78条,https://laws.e-gov.go.jp/law/322AC0000000049/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000366
,,,,労働災害の発生,LH-REQ-SAFE02-013,療養補償としての療養または費用補償状況,law,労働基準法,第75条／第76条／第77条／第78条,https://laws.e-gov.go.jp/law/322AC0000000049/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000367
,,,,労働災害の発生,LH-REQ-SAFE02-014,休業補償対象該当性,law,労働基準法,第75条／第76条／第77条／第78条,https://laws.e-gov.go.jp/law/322AC0000000049/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000368
,,,,労働災害の発生,LH-REQ-SAFE02-015,休業補償における法定割合適用状況,law,労働基準法,第75条／第76条／第77条／第78条,https://laws.e-gov.go.jp/law/322AC0000000049/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000369
,,,,労働災害の発生,LH-REQ-SAFE02-016,障害補償対象該当性,law,労働基準法,第75条／第76条／第77条／第78条,https://laws.e-gov.go.jp/law/322AC0000000049/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000370
,,,,労働災害の発生,LH-REQ-SAFE02-017,障害程度に応じた障害補償実施状況,law,労働基準法,第75条／第76条／第77条／第78条,https://laws.e-gov.go.jp/law/322AC0000000049/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000371
,,,,労働災害の発生,LH-REQ-SAFE02-018,死亡時における遺族補償および葬祭料対象該当性,law,労働基準法,第75条／第76条／第77条／第78条,https://laws.e-gov.go.jp/law/322AC0000000049/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000372
,,,,労働災害の発生,LH-REQ-SAFE02-019,遺族補償および葬祭料の支給状況,law,労働基準法,第75条／第76条／第77条／第78条,https://laws.e-gov.go.jp/law/322AC0000000049/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000373
