event_name,requirement_id,requirement_text,basis_type,basis_name,basis_locator,basis_url,check_status,checked_at,checked_by,neutrality_note,remarks,row_id
懲戒処分実施,LH-REQ-DISC01-001,懲戒処分の実施根拠となる労働契約または就業規則,law,労働契約法,第3条／第4条／第5条／第15条,https://laws.e-gov.go.jp/law/419AC0000000128/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000400
懲戒処分実施,LH-REQ-DISC01-002,懲戒処分の内容および理由に関する説明状況,law,労働契約法,第3条／第4条／第5条／第15条,https://laws.e-gov.go.jp/law/419AC0000000128/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000401
懲戒処分実施,LH-REQ-DISC01-003,懲戒処分実施時の生命・身体・健康への配慮状況,law,労働契約法,第3条／第4条／第5条／第15条,https://laws.e-gov.go.jp/law/419AC0000000128/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000402
懲戒処分実施,LH-REQ-DISC01-004,就業規則における懲戒規定の周知状況,law,労働契約法,第3条／第4条／第5条／第15条,https://laws.e-gov.go.jp/law/419AC0000000128/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000403
懲戒処分実施,LH-REQ-DISC01-005,懲戒事由および懲戒種類の就業規則適合性,law,労働契約法,第3条／第4条／第5条／第15条,https://laws.e-gov.go.jp/law/419AC0000000128/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000404
懲戒処分実施,LH-REQ-DISC01-006,就業規則における懲戒の種類および関連事項の定め,law,労働基準法,第89条／第90条,https://laws.e-gov.go.jp/law/322AC0000000049/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000405
懲戒処分実施,LH-REQ-DISC01-007,懲戒規定を含む就業規則の届出状況,law,労働基準法,第89条／第90条,https://laws.e-gov.go.jp/law/322AC0000000049/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000406
懲戒処分実施,LH-REQ-DISC01-008,就業規則上の懲戒事項の労働者周知状況,law,労働基準法,第89条／第90条,https://laws.e-gov.go.jp/law/322AC0000000049/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000407
懲戒処分実施,LH-REQ-DISC01-009,懲戒規定新設・変更時の意見聴取および届出状況,law,労働基準法,第89条／第90条,https://laws.e-gov.go.jp/law/322AC0000000049/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000408
懲戒処分実施,LH-REQ-DISC01-010,懲戒処分判断における性別差別的取扱いの有無,law,男女雇用機会均等法,第6条,https://laws.e-gov.go.jp/law/347AC0000000113/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000409
懲戒処分実施,LH-REQ-DISC01-011,懲戒処分基準または判断要素における性別条件または区別の有無,law,男女雇用機会均等法,第6条,https://laws.e-gov.go.jp/law/347AC0000000113/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000410
懲戒処分実施,LH-REQ-DISC01-012,懲戒処分内容における性別不利益差の有無,law,男女雇用機会均等法,第6条,https://laws.e-gov.go.jp/law/347AC0000000113/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000411
懲戒処分実施,LH-REQ-DISC01-013,懲戒処分に関する説明等における性別差別的表現の有無,law,男女雇用機会均等法,第6条,https://laws.e-gov.go.jp/law/347AC0000000113/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000412
懲戒処分実施,LH-REQ-DISC01-014,懲戒処分判断における年齢差別的取扱いの有無,law,労働施策の総合的な推進並びに労働者の雇用の安定及び職業生活の充実等に関する法律,第9条,https://laws.e-gov.go.jp/law/341AC0000000132/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000413
懲戒処分実施,LH-REQ-DISC01-015,懲戒処分基準または判断要素における年齢条件または区別の有無,law,労働施策の総合的な推進並びに労働者の雇用の安定及び職業生活の充実等に関する法律,第9条,https://laws.e-gov.go.jp/law/341AC0000000132/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000414
懲戒処分実施,LH-REQ-DISC01-016,懲戒処分内容における年齢不利益差の有無,law,労働施策の総合的な推進並びに労働者の雇用の安定及び職業生活の充実等に関する法律,第9条,https://laws.e-gov.go.jp/law/341AC0000000132/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000415
懲戒処分実施,LH-REQ-DISC01-017,懲戒処分に関する説明等における年齢差別的記載の有無,law,労働施策の総合的な推進並びに労働者の雇用の安定及び職業生活の充実等に関する法律,第9条,https://laws.e-gov.go.jp/law/341AC0000000132/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000416
