audit_id,audit_name,audit_period,audit_scope_note,event_name,requirement_id,requirement_text,basis_type,basis_name,basis_locator,basis_url,check_status,checked_at,checked_by,neutrality_note,remarks,row_id
,,,,手当制度を設計する,LH-REQ-CONT16-001,手当の賃金該当性および通貨支払原則への適合状況,law,労働基準法,第24条／第28条／第89条,https://laws.e-gov.go.jp/law/322AC0000000049,,,,本行は要件の列挙であり判断を含まない,,LH-000703
,,,,手当制度を設計する,LH-REQ-CONT16-002,手当の直接支払の仕組み,law,労働基準法,第24条／第28条／第89条,https://laws.e-gov.go.jp/law/322AC0000000049,,,,本行は要件の列挙であり判断を含まない,,LH-000704
,,,,手当制度を設計する,LH-REQ-CONT16-003,手当の全額支払の仕組み,law,労働基準法,第24条／第28条／第89条,https://laws.e-gov.go.jp/law/322AC0000000049,,,,本行は要件の列挙であり判断を含まない,,LH-000705
,,,,手当制度を設計する,LH-REQ-CONT16-004,手当の毎月一定期日支払の仕組み,law,労働基準法,第24条／第28条／第89条,https://laws.e-gov.go.jp/law/322AC0000000049,,,,本行は要件の列挙であり判断を含まない,,LH-000706
,,,,手当制度を設計する,LH-REQ-CONT16-005,手当を含む賃金額の最低賃金適合性,law,労働基準法,第24条／第28条／第89条,https://laws.e-gov.go.jp/law/322AC0000000049,,,,本行は要件の列挙であり判断を含まない,,LH-000707
,,,,手当制度を設計する,LH-REQ-CONT16-006,最低賃金を下回らない賃金構成,law,労働基準法,第24条／第28条／第89条,https://laws.e-gov.go.jp/law/322AC0000000049,,,,本行は要件の列挙であり判断を含まない,,LH-000708
,,,,手当制度を設計する,LH-REQ-CONT16-007,手当に関する就業規則記載事項該当性,law,労働基準法,第24条／第28条／第89条,https://laws.e-gov.go.jp/law/322AC0000000049,,,,本行は要件の列挙であり判断を含まない,,LH-000709
,,,,手当制度を設計する,LH-REQ-CONT16-008,就業規則における手当の種類・支給条件・計算方法の定め,law,労働基準法,第24条／第28条／第89条,https://laws.e-gov.go.jp/law/322AC0000000049,,,,本行は要件の列挙であり判断を含まない,,LH-000710
,,,,手当制度を設計する,LH-REQ-CONT16-009,就業規則における賃金決定又は計算方法としての手当の位置付け,law,労働基準法施行規則,第54条,https://laws.e-gov.go.jp/law/322M40000100023,,,,本行は要件の列挙であり判断を含まない,,LH-000711
,,,,手当制度を設計する,LH-REQ-CONT16-010,手当に関する賃金の締切日及び支払時期の定め,law,労働基準法施行規則,第54条,https://laws.e-gov.go.jp/law/322M40000100023,,,,本行は要件の列挙であり判断を含まない,,LH-000712
,,,,手当制度を設計する,LH-REQ-CONT16-011,手当を含む賃金額の最低賃金額以上の適合性,law,最低賃金法,第3条,https://laws.e-gov.go.jp/law/334AC0000000137,,,,本行は要件の列挙であり判断を含まない,,LH-000713
,,,,手当制度を設計する,LH-REQ-CONT16-012,適用最低賃金額区分への適合性,law,最低賃金法,第3条,https://laws.e-gov.go.jp/law/334AC0000000137,,,,本行は要件の列挙であり判断を含まない,,LH-000714
,,,,手当制度を設計する,LH-REQ-CONT16-013,手当の支給条件又は支給額における性別差別の有無,law,男女雇用機会均等法,第4条,https://laws.e-gov.go.jp/law/347AC0000000113,,,,本行は要件の列挙であり判断を含まない,,LH-000715
,,,,手当制度を設計する,LH-REQ-CONT16-014,同一労働に対する手当における性別差の有無,law,男女雇用機会均等法,第4条,https://laws.e-gov.go.jp/law/347AC0000000113,,,,本行は要件の列挙であり判断を含まない,,LH-000716
