event_name,requirement_id,requirement_text,basis_type,basis_name,basis_locator,basis_url,check_status,checked_at,checked_by,neutrality_note,remarks,row_id
時間外労働協定の締結,LH-REQ-TIME02-001,時間外労働または休日労働が必要な業務範囲の労使協定定義状況,law,労働基準法,第36条,https://laws.e-gov.go.jp/law/322AC0000000049/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000274
時間外労働協定の締結,LH-REQ-TIME02-002,時間外労働および休日労働実施期間の労使協定定義状況,law,労働基準法,第36条,https://laws.e-gov.go.jp/law/322AC0000000049/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000275
時間外労働協定の締結,LH-REQ-TIME02-003,時間外労働および休日労働の上限時間の労使協定定義状況,law,労働基準法,第36条,https://laws.e-gov.go.jp/law/322AC0000000049/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000276
時間外労働協定の締結,LH-REQ-TIME02-004,労使協定における有効期間の定め,law,労働基準法,第36条,https://laws.e-gov.go.jp/law/322AC0000000049/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000277
時間外労働協定の締結,LH-REQ-TIME02-005,労使協定締結主体の適格性,law,労働基準法,第36条,https://laws.e-gov.go.jp/law/322AC0000000049/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000278
時間外労働協定の締結,LH-REQ-TIME02-006,労使協定の所轄労働基準監督署長への届出状況,law,労働基準法,第36条,https://laws.e-gov.go.jp/law/322AC0000000049/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000279
時間外労働協定の締結,LH-REQ-TIME02-007,時間外労働および休日労働が必要な具体的業務種類の労使協定定義状況,law,労働基準法施行規則,第16条の2／第16条の3,https://laws.e-gov.go.jp/law/322M40000100023/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000280
時間外労働協定の締結,LH-REQ-TIME02-008,時間外労働および休日労働実施期間の労使協定定義状況,law,労働基準法施行規則,第16条の2／第16条の3,https://laws.e-gov.go.jp/law/322M40000100023/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000281
時間外労働協定の締結,LH-REQ-TIME02-009,時間外労働および休日労働上限時間の単位別定義状況,law,労働基準法施行規則,第16条の2／第16条の3,https://laws.e-gov.go.jp/law/322M40000100023/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000282
時間外労働協定の締結,LH-REQ-TIME02-010,臨時的に限度時間超過が必要な具体的事情の労使協定定義状況,law,労働基準法施行規則,第16条の2／第16条の3,https://laws.e-gov.go.jp/law/322M40000100023/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000283
時間外労働協定の締結,LH-REQ-TIME02-011,限度時間超過時の手続および回数の労使協定定義状況,law,労働基準法施行規則,第16条の2／第16条の3,https://laws.e-gov.go.jp/law/322M40000100023/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000284
時間外労働協定の締結,LH-REQ-TIME02-012,労使協定における有効期間の定め,law,労働基準法施行規則,第16条の2／第16条の3,https://laws.e-gov.go.jp/law/322M40000100023/,not_checked,,,本行は要件の列挙であり判断を含まない,,LH-000285
